License Type	Source URL	Degree Required Status	Supporting Evidence	Reasoning	Confidence Score	Elo Rating
Licensed Practical Nurse	https://www.practicalnursing.org/lpn-programs/new-jersey/jersey-city	No Degree Found	“This practical nursing certificate program…” and admission list including “High school, diploma, or GED transcripts” with no mention of any associate, bachelor’s, or higher degree requirement.	The source describes LPN education as certificate programs completed in about 12-15 months and only requires a high school diploma/GED for admission; it never specifies an associate’s, bachelor’s, or graduate degree as a condition for initial licensure.	0.88	953
Licensed Practical Nurse	https://capemaytech.com/programs-departments/adult-community-education/post-secondary-programs/practical-nursing/	No Degree Found	Prerequisites  High School diploma or equivalent...	The text specifies only a high school diploma (or equivalent) plus entrance testing as prerequisites for the program leading to licensure; it does not mention any associate’s, bachelor’s, or graduate degree requirement.	0.9	930
Licensed Practical Nurse	https://pccc.edu/nursing/nursing-degree/	No Degree Found	"Applicants for admission to the Nurse Education Program must be high school graduates or have high school equivalency diplomas (GED)." The text otherwise lists tests and course prerequisites but never references any associate, bachelor’s, or higher degree.	The source explicitly cites only a high school diploma/GED as the educational baseline and provides no indication that any college degree is required, so by the hierarchy the correct classification is 'No Degree Found'.	0.9	922
Licensed Practical Nurse	https://www.salemcc.edu/nursing/programs/pn	No Degree Found	"The Practical Nursing certificate program is a forty-four week program." No mention is made of an associate’s, bachelor’s, or graduate degree requirement for licensure.	The text describes a certificate-level practical nursing program and does not state any requirement for an associate’s or higher degree to become a Licensed Practical Nurse.	0.86	886
Licensed Practical Nurse	https://www.practicalnursing.org/lpn-programs/new-jersey/newark	No Degree Found	Admission Requirements: - High school diploma or GED	The only educational prerequisite stated is a high school diploma or GED; no associate, bachelor’s, or higher degree is referenced, so no college degree is required for initial licensure based on the provided text.	0.9	882
Licensed Practical Nurse	https://www.jerseycollege.edu/admissions/practical-nursing-lpn-program	No Degree Found	“Present proof of high school education or its equivalent …” is the only educational prerequisite mentioned; no associate’s, bachelor’s, or higher degree is referenced anywhere in the requirements.	The source text specifies only a high-school (or equivalent) education for admission to the LPN program and gives no indication that an associate’s, bachelor’s, or graduate degree is required for initial licensure.	0.88	879
Licensed Practical Nurse	https://pccc.edu/nursing/lpn/	No Degree Found	"must be a high school graduate or have a high school equivalency diploma (GED)" — no associate, bachelor’s, or higher degree is mentioned for holding or obtaining the LPN license within the provided text.	The only stated educational prerequisite is a high-school diploma or GED; the text contains no requirement for any college degree, so the minimum degree level is none.	0.85	879
Licensed Practical Nurse	https://research.com/careers/new-jersey-nursing-license-requirements	No Degree Found	"For those pursuing an LPN license, the pathway involves completing a practical nursing program, typically lasting around one year."  "...LPNs complete shorter educational programs, typically in the form of diplomas or certificates."	The text specifies that LPN applicants need only complete a one-year practical nursing program leading to a diploma or certificate; it does not mention any Associate’s, Bachelor’s, or higher degree requirement.	0.88	878
Licensed Practical Nurse	https://careers-cooperhealth.icims.com/jobs/72106/licensed-practical-nurse/job	No Degree Found	“Graduate of an accredited school of practical nursing.”	The text requires only graduation from a practical nursing school, with no mention of an associate’s, bachelor’s, or graduate degree, so no college degree is required based on the provided information.	0.9	875
Licensed Practical Nurse	https://www.ocean.edu/programs-courses/school-of-nursing-and-health-sciences/traditional-nursing-students-faqs/	No Degree Found	The text only references submitting high school transcripts, taking the TEAS entrance test, criminal background check, and various course prerequisites; it nowhere states that an associate’s, bachelor’s, or graduate degree is required for entry or licensure.	The SourceText sets out application steps (high-school transcript, TEAS test, background check) but never mentions the need to hold or complete any college degree, so no degree requirement can be inferred.	0.86	854
Licensed Practical Nurse	https://www.jerseycollege.edu/nursing-school-guide/nclex-exam	No Degree Found	"the NCLEX-PN, which is geared toward those with a diploma in practical nursing" – the text speaks only of a diploma for LPN candidates and never specifies an associate’s, bachelor’s, or higher degree requirement for initial LPN licensure.	For Licensed Practical Nurse, the SourceText mentions only a practical-nursing diploma as the educational background tied to the NCLEX-PN; no associate, bachelor’s, or graduate degree is cited or implied as mandatory.	0.85	848
Licensed Practical Nurse	https://www.ocean.edu/programs-courses/school-of-nursing-and-health-sciences/admission-to-the-traditional-nursing-program/	No Degree Found	"All Nursing applicants must provide an Official High School Transcript that verifies graduation or a copy of your GED." No statement requires an Associate’s, Bachelor’s, or higher degree (a bachelor’s is only one optional way to qualify, not mandatory).	The text lists high-school/GED plus test scores or GPA as sufficient for admission; a bachelor’s degree is merely an optional pathway, so no college degree is strictly required.	0.85	828
Licensed Practical Nurse	https://pccc.edu/nursing/clinical-requirements/	No Degree Found	No portion of the provided text specifies that an associate’s, bachelor’s, or graduate/professional degree is required; it only lists clinical, health, and background prerequisites for students in a nursing program.	The SourceText outlines health, background-check, vaccination, and course-grade requirements for participation in clinical experiences but never states that a specific college degree (associate’s, bachelor’s, etc.) is required for initial licensure as a Licensed Practical Nurse.	0.85	818
Licensed Practical Nurse	https://pccc.edu/nursing/admissions-requirements-advanced-standing-transfer/	No Degree Found	The text outlines transfer procedures (e.g., “All applicants … are required to complete an application to Passaic County Community College” and provisions for accepting prior nursing credits) but nowhere states that an associate’s, bachelor’s, or graduate degree is required for licensure or program entry.	The SourceText discusses application and credit-transfer steps for a community-college Nurse Education Program without specifying any college degree prerequisite; therefore, no degree requirement can be inferred.	0.85	791
Licensed Practical Nurse	https://pccc.edu/nursing/program-requirements-lpn-mobility-option/	No Degree Found	The provided text only outlines a curriculum for an "LPN Mobility Program" aimed at Licensed Practical Nurses who wish to become Registered Nurses; it does not state any educational prerequisite (associate’s, bachelor’s, or graduate degree) for obtaining the Licensed Practical Nurse license itself.	Because the text focuses on a bridge program for already-licensed LPNs transitioning to RN status and never specifies what education is required to become an LPN in the first place, no college-degree requirement for initial LPN licensure can be inferred.	0.86	777
Licensed Practical Nurse	https://pccc.edu/nursing/how-to-apply/	Could Not Determine	The SourceText discusses admission into an Associate in Applied Science nursing program and notes that "Licensed practical nurses are admitted each Spring (May) to the mobility option," but it provides no explicit or implicit statement of the educational prerequisites needed to obtain an initial Licensed Practical Nurse license itself.	The passage focuses on an AAS RN program and merely references already-licensed practical nurses entering a mobility track; it contains no clear information about what education is required to become an LPN in the first place, so the minimum degree requirement for LPN licensure cannot be determined from this text.	0.45	771
Licensed Practical Nurse	https://pccc.edu/nursing/program-requirements-day-evening-option/	Implicit Associate's	"Total Credits for Degree" 68 (four-semester curriculum listing general education and nursing courses indicative of a two-year degree program).	The text describes a 68-credit, four-semester nursing curriculum that culminates in a ‘degree,’ a structure characteristic of an associate-level nursing program, even though the word "associate" is not explicitly used.	0.6	762
Licensed Practical Nurse	https://www.ocean.edu/programs-courses/school-of-nursing-and-health-sciences/previously-unsuccessful-nursing-students/	No Degree Found	No sentence in the provided text specifies that obtaining an LPN license requires an associate’s, bachelor’s, or graduate degree; the only relevant line is "Successfully achieve an LPN license," which lists the license itself without stating any degree prerequisite.	The SourceText discusses options for readmission to a college nursing program and merely references holding an LPN license as one option, but it never states or implies that a college degree (associate’s or higher) is required to obtain that license.	0.9	760
Registered Pharmacist License	https://www.njconsumeraffairs.gov/Statutes/pharmacy-law.pdf	Explicit Graduate/Professional	"Have graduated and received a professional degree from a college or school of pharmacy that has been approved by the board;" (N.J.S.A. 45:14-50 d)	The statute expressly states that applicants must obtain a ‘professional degree’ from an approved college or school of pharmacy, which is a post-baccalaureate professional credential, fitting the Explicit Graduate/Professional category.	0.9	1,137.00
Certified Nurse Aide	https://www.nj.gov/health/healthfacilities/certification-licensing/nurse-aide-pc-assistant/apply/index.shtml	No Degree Found	“Certification candidates must successfully complete the Nurse Aide in Long Term Care Facilities Training and Competency Evaluation Program (NATCEP). The training course is 90 hours, consisting of 50 classroom hours and 40 clinical hours.” No mention is made of any associate’s, bachelor’s, or graduate degree requirement.	The text specifies only a short training program and competency exams for initial certification; it contains no language requiring any college degree, implicit or explicit.	0.9	1,135.00
Speech Language Pathology License	https://www.nj.gov/education/certification/edsrvs/endorsementsedsrvs/3462CE.shtml	Explicit Graduate/Professional	"Be currently matriculated in a master’s degree program in speech-language pathology/communication disorders from an accredited college or university."  "Complete a minimum of 18 (or 24) semester-hour graduate credits in speech language pathology/communication disorders which shall include a graduate clinical practicum."	Both licensing options explicitly require the applicant to be enrolled in a master’s degree program and to have completed graduate-level coursework, making a graduate/professional level education an explicit prerequisite for initial certification.	0.9	1,134.00
Clinical Laboratory Technician License	https://nj.gov/health/forms/cl-34.PDF	Could Not Determine	"An individual employed in a clinical laboratory... must establish his/her qualifications under N.J.S.A. 45:9-42.34." / "Verification of degree, diploma, board certification, etc., may be requested."	The excerpt references a statutory requirement to establish qualifications but does not specify what educational level (if any) is mandated; it merely notes that verification of a degree might be requested, leaving the degree requirement unclear.	0.4	1,133.00
Fire Investigator Certification	https://www.nj.gov/dca/divisions/dfs/pdf/nj_addendum.pdf	No Degree Found	“Certification for Fire Investigator shall be granted to an individual who meets the following requirements: … 2. Has a high school diploma or equivalent; … 4. Satisfactorily completes a Basic Fire Investigation course of at least 80 hours of instruction…” (N.J.A.C. 5:73-18.2)	The regulation lists only a high school diploma (or GED), specific certifications, and an 80-hour training course; it does not mandate any associate, bachelor’s, or graduate degree. Therefore, no college degree is required for initial Fire Investigator certification.	0.9	1,133.00
Licensed Social Worker	https://www.njconsumeraffairs.gov/sw/Pages/default.aspx	Explicit Graduate/Professional	"More specifically, the board certifies at the bachelors level and licenses at the masters level."	The text explicitly states that licensure (which includes the Licensed Social Worker category) is at the master's level, indicating a graduate degree is required for initial licensure.	0.9	1,133.00
Licensed Social Worker	https://www.njconsumeraffairs.gov/sw/Pages/FAQ.aspx	Explicit Graduate/Professional	“Do I need to take another exam after receiving my MSW? ... You are required to successfully complete the ASWB Master's level examination in order to be eligible for licensure in New Jersey.”  |  “You may apply for preapproval to sit for the examination while you are actively enrolled in your last semester of your Master's social work program or if you have completed your degree.”	The FAQ states that only individuals who have completed (or are in the final semester of) a Master’s in Social Work (MSW) may pursue the required exam and licensure, explicitly tying licensure eligibility to possession of a graduate degree.	0.86	1,133.00
Licensed Social Worker	https://naswnj.socialworkers.org/Professional-Development/Licensing-in-New-Jersey/Licensing-FAQs	Explicit Graduate/Professional	"Licensed Social Worker (LSW) - If you have a Master’s Degree in Social Work from an educational program accredited by the Council on Social Work Education (CSWE)..."; "NJ has three certification/licensing levels: ... Licensed Social Worker (LSW) - Master of Social Work;"	The text explicitly states that obtaining an LSW requires a Master’s Degree in Social Work, which is a graduate-level credential.	0.94	1,143.00
Licensed Social Worker	https://www.wcupa.edu/education-socialWork/gradSocialWork/documents/LicensureNJ_000.pdf	Explicit Graduate/Professional	"Your final semester of the MSW Program is the earliest you can take the exam." ; "this information is for those with a master’s degree in social work."	The text states that applicants must be in their MSW (Master of Social Work) program and the guidance is specifically for those holding or completing a master’s degree, making a graduate degree an explicit prerequisite for the Licensed Social Worker credential.	0.87	1,135.00
Engineer-In-Training	https://www.njconsumeraffairs.gov/pels/Applications/Professional-Engineer-in-Training-Application.pdf	Explicit Bachelor's	"18. Education * ... Bachelor’s Degree in Engineering"; "If you have an undergraduate degree from a non-ABET accredited program, then your education credentials must be evaluated."	The application form specifically lists "Bachelor’s Degree in Engineering" in the required education section and discusses evaluation of an applicant’s undergraduate (bachelor’s) degree, indicating that holding a bachelor’s degree is an explicit prerequisite for Engineer-in-Training certification.	0.75	1,132.00
Licensed Practical Nurse	https://www.njconsumeraffairs.gov/Proposals/Pages/09052017-Nursing-proposl.aspx	No Degree Found	"Subchapter 2 sets forth the licensing examination requirements for ... licensed practical nurses... [and] requires applicants to submit a completed application form, an application fee, and a written certification ... attesting that the applicant has completed the requirements for graduation." The text does not mention any associate’s, bachelor’s, or graduate degree requirement.	The rules only require completion of a nursing program and passage of the NCLEX-PN; no college degree (associate or higher) is specified or implied for initial LPN licensure.	0.86	1,132.00
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-program-options/100-online	Explicit Graduate/Professional	"Rutgers School of Social Work's 100% Online Master of Social Work (MSW) degree program..." ; "Pathway to Licensed Social Worker Credentials – Rutgers’ Master of Social Work programs ... satisfy the requirements for licensure in New Jersey."	The text links obtaining Licensed Social Worker credentials in New Jersey directly to completion of a Master of Social Work (MSW) program, an explicit graduate-level degree requirement.	0.85	1,097.00
Licensed Social Worker	https://www.socialworkerlicense.com/social-work-license-guides/new-jersey-licensed-social-worker-lsw/	Explicit Graduate/Professional	“Thus, you’ll need to earn a master’s or doctoral degree in social work from a school that’s been accredited…”	The text explicitly states that applicants must obtain either a master’s or doctoral degree in social work, which is a graduate-level requirement.	0.93	1,087.00
Licensed Social Worker	https://njscsw.us/Resources/Licensing.aspx	Explicit Graduate/Professional	"Requirements:  A Master’s Degree in Social Work from an educational program accredited by the Council on Social Work Education (CSWE) or in candidacy for accreditation by the CSWE."	The text explicitly states that a Master’s Degree in Social Work is required for the Licensed Social Worker (LSW) credential, clearly meeting the criterion for an explicit graduate/professional degree requirement.	0.96	1,081.00
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-program-options/100-online	Explicit Graduate/Professional	"Pathway to Licensed Social Worker Credentials... Rutgers’ Master of Social Work programs ... satisfy the requirements for licensure in New Jersey."	The text directly links obtaining Licensed Social Worker credentials in New Jersey to completion of a Master of Social Work (MSW) program, which is a graduate degree, thereby explicitly requiring a graduate/professional degree for initial licensure.	0.85	1,069.00
Licensed Social Worker	https://socialwork.rutgers.edu/alumni/licensing	Explicit Graduate/Professional	"until you have earned a master's degree in social work and have an LSW" (NASW Licensing FAQs); "LSW - CSWE accredited program transcript and pass ASWB examination."	The text directly states that obtaining an LSW is contingent upon first earning a master's degree in social work and also requires submission of a CSWE-accredited program transcript, which confirms that a graduate (MSW) degree is the educational prerequisite.	0.7	1,067.00
Licensed Social Worker	https://socialworklicensemap.com/social-work-licensure/become-a-social-worker-in-new-jersey/	Explicit Graduate/Professional	“Education Requirements: MSW or doctorate in social work from an institution accredited by the CSWE or in candidacy for accreditation by the CSWE”	The text explicitly states that a Licensed Social Worker in New Jersey must hold an MSW (Master of Social Work) or a doctorate, which are graduate-level degrees, thus meeting the criteria for Explicit Graduate/Professional.	0.95	1,035.00
Licensed Social Worker	https://www.publichealthonline.org/human-services/new-jersey-social-work-license/	Explicit Graduate/Professional	“Licensed Social Worker (LSW) – Application process: 1. Earn at least a master’s degree in Social Work.”	The text clearly states that to obtain the Licensed Social Worker credential an applicant must have a master’s degree in Social Work, which is an explicit graduate-level requirement.	0.95	1,021.00
Licensed Social Worker	https://www.allpsychologyschools.com/licensing/new-jersey/	Explicit Graduate/Professional	"LSW: At least a master’s degree in social work from an accredited program"	The source text directly states that obtaining a Licensed Social Worker credential in New Jersey requires at minimum a master’s degree in social work, clearly satisfying the definition of an explicit graduate/professional degree requirement.	0.93	1,006.00
Licensed Social Worker	https://www.njleg.state.nj.us/bill-search/2024/S2473/bill-text?f=S2500&n=2473_I1	No Degree Found	The bill text only states that "the individual submits educational and experiential records" and that "the board is authorized to determine if the education and experience of the applicant is satisfactory"; it never specifies a required Associate's, Bachelor's, or Graduate degree for a Licensed Social Worker.	The provided statutory amendment discusses allowing the board to evaluate unspecified "educational and experiential records" but contains no explicit or implicit reference to any college-level degree as a prerequisite for licensure.	0.86	1,000.00
Licensed Social Worker	https://socialwork.columbia.edu/content/social-work-licensing	Explicit Graduate/Professional	"Licensed Master Social Worker (LMSW): ... Requirements include*: - Receiving your MSSW degree"	The text clearly states that obtaining the social-work license (at the master/entry level) requires receipt of an MSSW, which is a master’s (graduate) degree, establishing an explicit graduate/professional degree requirement.	0.83	999
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates/addiction-counselor-training-act-certificate/prospective-act-students	Explicit Graduate/Professional	"You simply apply ... upon graduation with your MSW and passing the LSW exam."	The text links eligibility to apply for the LSW directly to having completed a Master of Social Work (MSW), an explicitly stated graduate degree, indicating that a graduate/professional degree is required for initial licensure.	0.83	974
Licensed Social Worker	https://www.psychology.org/social-work/licensure/new-jersey/	Explicit Graduate/Professional	“LSWs hold master’s or doctorate degrees in social work….”; “New Jersey licensure requirements for LSW include: - Master’s degree in social work or social welfare, or doctoral degree in social work”	The text explicitly states that a Licensed Social Worker must possess either a master’s or doctoral degree in social work/social welfare, satisfying the definition of an explicit graduate/professional degree requirement.	0.95	972
Licensed Social Worker	https://www.socialworkerlicense.com/guide/new-jersey-social-worker-license/	No Degree Found	The excerpt discusses "requirements, such as education and experience," but it never specifies that a bachelor's, master's, or any other degree is required for a Licensed Social Worker.	The provided text does not list any explicit or implicit college‐degree requirement for obtaining the Licensed Social Worker credential, so no degree requirement can be identified based solely on this source.	0.85	972
Licensed Social Worker	https://www.nj.gov/education/certification/edsrvs/	Implicit Bachelor's	“All credits and degrees must appear on an accredited four-year college or university transcript.”	Requiring that the degree come from a four-year college or university indicates the minimum credential is one normally conferred by such institutions (i.e., at least a baccalaureate), even though the word “bachelor’s” is not explicitly used.	0.65	955
Licensed Social Worker	https://www.kean.edu/academics/nathan-weiss-graduate-college/department-graduate-social-work/current-msw-students-0	Explicit Graduate/Professional	“At NJ schools, the Dean/Director usually sends an official letter to the BSWE after graduation. It lists all students who received their MSW degree.”	The checklist instructs applicants to provide verification that they have graduated with an MSW (Master of Social Work), which is an explicit master’s-level requirement for licensure as an LSW.	0.85	931
Licensed Social Worker	https://www.fdu.edu/program/og-social-work-msw/	Explicit Graduate/Professional	"Fairleigh Dickinson University’s Master of Social Work Program is accredited by the Council on Social Work Education (CSWE). For all fifty states, this accredited status satisfies the educational requirements for licensure."	The text states that completing a Master of Social Work (a graduate degree) meets the educational requirements for social work licensure in every state, indicating that an MSW is required for initial licensure as a Licensed Social Worker.	0.83	920
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates	Explicit Graduate/Professional	"The first program of its kind, the Addiction Counselor Training MSW Certificate fulfills the educational requirements for dual licensure as a ... Licensed Social Worker (LSW)..."; "Rutgers’ five social work certificate programs offer MSW candidates the opportunity to focus their education on a specialized discipline."	The text links meeting the educational requirements for LSW licensure to completion of an MSW-based certificate available only to MSW students, making a Master of Social Work (a graduate degree) an explicit element of the licensure pathway.	0.74	915
Licensed Social Worker	https://swcompact.org/	Explicit Graduate/Professional	"Masters Social Workers ... - Accredited MSW degree or higher"	The table of category-specific requirements states that to be licensed at the master-level (which aligns with the common ‘Licensed Social Worker’ designation), an accredited Master of Social Work (MSW) degree is required, which is an explicit graduate degree requirement.	0.82	914
Licensed Social Worker	https://www.montclair.edu/online/about-us/	Explicit Graduate/Professional	"Master of Social Work (MSW) program ... satisfies the requirements for licensure in New Jersey."	The source states that completion of a Master of Social Work (MSW) program meets New Jersey licensure requirements, clearly indicating a graduate degree is required for licensure.	0.9	885
Licensed Social Worker	https://www.nj.gov/education/certification/edsrvs/index.shtml	Implicit Bachelor's	"you must hold the appropriate degree" ... "All credits and degrees must appear on an accredited four-year college or university transcript."	The text requires applicants to possess a degree reflected on a four-year college/university transcript, which inherently suggests at least baccalaureate-level education, but it never explicitly states “bachelor’s degree.”	0.65	884
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates/addiction-counselor-training-act-certificate	Explicit Graduate/Professional	"clinicians graduating from the MSW/ACT program will meet the educational requirements for two licenses (LCADC, LCSW)", "The ACT Certificate Program’s primary goal is to educate master’s and doctoral-level clinicians who wish to prepare for licensing", "Who can apply? – Clinicians with a master's or doctoral degree in a counseling/mental health discipline... MSW students who wish to earn their LCADC education hours while taking the courses required for the MSW degree"	The text links eligibility for the Licensed Social Worker/Clinical Social Worker license to graduation from an MSW program and repeatedly states it is aimed at master’s-level clinicians, making a graduate (Master’s) degree an explicit prerequisite.	0.83	842
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-certificates/addiction-counselor-training-act-certificate/program-overview-and-requirements	No Degree Found	No educational degree requirement for obtaining the Licensed Social Worker (LSW) license is stated anywhere in the provided text; the only reference to LSW is: “ACT MSW students will receive supervision by a clinician who holds an LSW or LCSW and an LCADC,” which does not specify a degree prerequisite for licensure.	The source text focuses on an Addiction Counselor Training certificate within an MSW program and merely references LSW holders as supervisors; it never outlines any degree that an applicant must possess to become a Licensed Social Worker.	0.86	835
Licensed Social Worker	https://nj.gov/health/fhs/eis/documents/njeis_pra.pdf	No Degree Found	“14. Social Worker: Certified or Licensed Social Worker, or Licensed Clinical Social Worker ...” — the text specifies holding a certification or license but does not state any associate’s, bachelor’s, or graduate degree requirement.	The only requirement mentioned is possessing the appropriate social work license or certification; the excerpt provides no information about any degree (associate’s, bachelor’s, or graduate) needed for that licensure.	0.87	818
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-program-options/advanced-standing	Could Not Determine	The text only states that the Advanced Standing MSW program "is designed for students who have earned a baccalaureate degree in social work …" but does not connect any specific degree level to the requirements for becoming a New Jersey "Licensed Social Worker." No explicit licensure education requirement is provided.	While the excerpt references both baccalaureate and master’s-level social work education, it never specifies which (if any) is mandated for initial licensure as a Licensed Social Worker in New Jersey, so the degree requirement for licensure cannot be determined from this source alone.	0.25	801
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-program-options/intensive-weekend	Could Not Determine	The only reference states: “The curriculum fulfills the requirements for future licensing, which students are encouraged to pursue.”  No sentence expressly says that obtaining a Licensed Social Worker credential requires an MSW or any other specific degree.	While the text describes an MSW program and notes that it can satisfy “future licensing” requirements, it never directly sets out the educational prerequisite for the Licensed Social Worker license itself, so the minimum degree requirement cannot be definitively concluded from this source alone.	0.3	797
Licensed Social Worker	https://www.nj.gov/education/certification/certsandtitles/	Could Not Determine	The SourceText merely lists "School Social Worker (3200)" as an endorsement and states "please visit the webpage for endorsement specifications," but provides no educational requirements or degree information.	Because the text lacks any explicit or implicit mention of the educational prerequisites for a (Licensed/School) Social Worker, it is impossible to identify whether an associate’s, bachelor’s, graduate, or any degree at all is required.	0.3	791
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-program-options	Could Not Determine	The SourceText only describes various MSW degree program formats at Rutgers (Traditional, Online, Intensive Weekend, Advanced Standing, etc.) but never links these degrees to the requirements for obtaining a New Jersey Licensed Social Worker credential.	Because the text focuses solely on program options and contains no statement that an MSW (or any degree) is required for initial licensure as a Licensed Social Worker, the educational prerequisite for the license cannot be determined from this source alone.	0.3	774
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-dual-degrees	Could Not Determine	The SourceText only outlines Rutgers’ dual-degree MSW programs (e.g., "Rutgers School of Social Work offers graduate dual degrees"), but it never states what education the New Jersey licensing board requires for a Licensed Social Worker credential.	The excerpt discusses academic degree options but contains no information linking any specific degree to the state licensure requirements for a Licensed Social Worker, so the necessary educational level for licensure cannot be determined from this text alone.	0.28	772
Licensed Social Worker	https://socialwork.rutgers.edu/academics/master-social-work-msw/msw-specializations	No Degree Found	The provided text only discusses the curriculum and specializations within Rutgers’ Master of Social Work program and nowhere states that a degree (associate’s, bachelor’s, or master’s) is required to obtain the New Jersey Licensed Social Worker credential.	The source text contains academic program information but does not tie any degree completion to licensure requirements; therefore, no educational prerequisite for the license can be identified from this text.	0.9	768
Physical Therapist License	https://www.njconsumeraffairs.gov/pt/Documents/Physical-Therapy-Helpful-Information-Regarding-the-Application-Process.pdf	Explicit Graduate/Professional	"...the Board office must have a credential evaluation report that confirms that your education is substantially equivalent to a first professional physical therapy degree in the United States."	Licensure-seekers must show they possess, or have foreign education equivalent to, a "first professional physical therapy degree," which is a post-baccalaureate professional credential (currently the Doctor of Physical Therapy). This satisfies the definition of an explicit graduate/professional degree requirement.	0.66	1,132.00
Mammography Certification	https://www.brookdalecc.edu/continuinged/healthcare/rad-tech/	No Degree Found	"Prerequisites: - 18 years of age or older - Current NJ Diagnostic Radiologic Technologist License required. - Registered Radiologic Technologist (ARRT)."  No mention of an associate, bachelor’s, or graduate degree appears anywhere in the listed prerequisites or program description.	The SourceText outlines age, licensure, and ARRT registration requirements for entering the Mammography Certificate program but never references any college degree; therefore, no degree requirement can be inferred from the provided material.	0.87	1,138.00
Certified Rehabilitation Counselor	https://www.njconsumeraffairs.gov/Statutes/professional-counselor-examiners-committee-law.pdf	Explicit Graduate/Professional	"Has completed a planned educational program in rehabilitation counseling approved by the committee, which includes a master's degree in rehabilitation counseling from a regionally accredited institution of higher education;" (45:8B-41.1c)	The statute explicitly states that applicants must hold a master’s degree in rehabilitation counseling, a graduate-level credential, to obtain licensure as a (certified) rehabilitation counselor.	0.9	1,130.00
Mammography Certification	https://jobs.hackensackmeridianhealth.org/job/hackensack/mammography-technologist-per-diem/19511/78361602128	No Degree Found	"High School diploma, general equivalency diploma (GED)... Graduate of an AMA approved School of Radiologic Technology."  No associate, bachelor's, or graduate degree is mentioned.	The text lists a high school diploma and graduation from an AMA-approved radiologic technology school as prerequisites, without referencing any college degree level; therefore, no degree requirement can be inferred.	0.85	1,023.00
Mammography Certification	https://careers.pennmedicine.org/jobs/15785747-mammographer-cherry-hill	No Degree Found	“H.S. Diploma/GED (Required)” and “Graduate from an approved Radiologic Technology Program (Required)” – no associate, bachelor’s, or graduate degree is specified.	The source lists only a high-school diploma and completion of an approved radiologic technology program; it never mentions needing an associate, bachelor’s, or higher degree, so no college degree requirement can be inferred.	0.85	1,013.00
Mammography Certification	https://careers-cooperhealth.icims.com/jobs/71765/mammography-technologist/job	No Degree Found	“Education Requirements: HS or equivalent” ; “Must be licensed by the NJDEPE and credentialed in radiograph and mammography by the ARRT.”  The text does not state any associate, bachelor’s, or graduate degree is needed.	The only explicit education requirement mentioned is a high-school diploma (or equivalent); licensure/credentialing is discussed separately without specifying any college degree, so no college degree requirement can be inferred from the provided text.	0.87	997
Mammography Certification	https://mycareer.nj.gov/training/search?q=Radiologic%20Technologists%20and%20Technicians	No Degree Found	The source lists training options such as "CIP Code: 51.0919 Mammography Technology/Technician… av_timer 3-5 months to complete" and similar entries, but nowhere does it state that an associate’s, bachelor’s, or graduate degree is required for Mammography Certification.	The text only provides information on short-term and multi-year training programs with costs and durations; it never establishes any formal college degree (associate, bachelor’s, graduate) as a prerequisite for obtaining the certification.	0.86	941
Mammography Certification	https://jobs.hackensackmeridianhealth.org/job/edison/mammography-technologist-per-diem/19511/80697669696	No Degree Found	“High School diploma, general equivalency diploma (GED)... Graduate of an AMA approved School of Radiologic Technology.”  No associate’s, bachelor’s, or graduate degree is specified.	The only educational prerequisites listed are a high school diploma/GED and completion of a Radiologic Technology program; the text never states that an associate’s, bachelor’s, or higher degree is required.	0.83	897
Mammography Certification	https://www.breastcare.org/job/mammography-technologist-new-jersey/	No Degree Found	“HS Diploma/GED required”; “Associate’s Degree or higher level of formal education preferred” (preference only, not required)	The text specifies only a high school diploma or GED as the mandatory education; any college degree is listed as merely preferred, not required for licensure/employment.	0.86	863
Mammography Certification	https://imagecarecenters.com/jobs/part-time-mammography-technologist/	No Degree Found	"A graduate of an accredited RT Program required." (no mention of associate, bachelor’s, or graduate degree)	The text only requires completion of an accredited radiologic technologist program without stating that the program must confer an associate’s, bachelor’s, or higher degree. Hence, no college degree requirement is identified.	0.86	846
Medical Licence	https://regulations.justia.com/states/new-jersey/title-13/chapter-35/subchapter-3/section-13-35-3-11a/	Explicit Graduate/Professional	"has received a medical degree from a medical school approved by the Liaison Committee on Medical Education (LCME) or American Osteopathic Association (AOA)"; "has received a medical degree from a medical school approved by the LCME or AOA"	The regulation explicitly requires that applicants have obtained a medical degree (MD or DO) from an accredited medical school, which is a professional/graduate-level degree.	0.92	1,243.00
